PROJ,HASHID_FIX,HASHID_INDUCE,FILE
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderCacheImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,90b84c5d73db4d0d7fa3e5520358912961b59c43,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderCacheImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,90b84c5d73db4d0d7fa3e5520358912961b59c43,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,7a6d34e95f66e916e44b844b1ce6551ba8169539,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,90b84c5d73db4d0d7fa3e5520358912961b59c43,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,bf8ffa5ced5bda9a67d87fc43bd4336509112e74,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/StringValue.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,f27898f28082a42624d7dd5c7768523ef6b16f61,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java
openjpa,f0286a268e1d3d1b97c361fe2bad743b8064094a,305758fc96e8ee05b632e3b7a4341b7dba36f16d,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java
