NS,ND,NF,Entropy,LA,LD,LT,SOL,NTM,FN,NDEV,AGE,EXP,REXP,Complexity,if_add,if_del,if_chg,elseif_add,elseif_del,elseif_chg,else_add,else_del,else_chg,for_add,for_del,for_chg,while_add,while_del,while_chg,do_add,do_del,do_chg,break_add,break_del,break_chg,continue_add,continue_del,continue_chg,label_add,label_del,label_chg,    switch_add,switch_del,switch_chg,case_add,case_del,case_chg,default_add,default_del,default_chg,assert_add,assert_del,assert_chg,return_add,return_del,return_chg,try_add,try_del,try_chg,catch_add,catch_del,catch_chg,throw_add,throw_del,throw_chg,throws_add,throws_del,throws_chg,finally_add,finally_del,finally_chg,final_add,final_del,final_chg,static_add,static_del,static_chg,synchronized_add,synchronized_del,synchronized_chg,condition_add,condition_del,condition_chg,loop_add,loop_del,loop_chg,expVariable_add,expVariable_del,expVariable_chg,expParameter_add,expParameter_del,expParameter_chg,externalCall_add,externalCall_del,externalCall_chg,average_time,Cpu_user,Runtime,Cpu_sys,Mem_rss,Mem_vms,Io_read,Io_write
1, 1, 2, 2.38009121427, 11, 27, 143, 174, 3, 0, 3, 1426761922.1764705, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0,44.3760666667,0,0,0,0,0,0,0
1, 1, 2, 2.38009121427, 11, 27, 143, 1739, 3, 0, 3, 1426761922.1764705, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0,71.0682,0,0,0,1,1,1,0
1, 1, 2, 2.99287916785, 144, 271, 465, 1739, 11, 0, 11, 1423499850.6146045, 0, 0, 42, 1, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 11, 0, 0, 0, 0, 0, 1, 0,70.9909333333,0,0,0,0,0,0,0
1, 1, 2, 2.99287916785, 89, 136, 264, 584, 8, 0, 8, 1423498695.34, 0, 0, 42, 1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 10, 0, 0, 0, 0, 0, 1, 0,46.4225666667,0,0,0,1,1,1,0
1, 1, 2, 2.99287916785, 67, 84, 150, 71, 5, 0, 5, 1423500399.680162, 0, 0, 42, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10, 0, 0, 0, 0, 0, 1, 0,44.0784333333,0,0,0,0,0,0,0
1, 1, 1, 3.63372366909, 0, 0, 195, 234, 1, 0, 1, 1423085256.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,237.2506,0,1,1,0,0,0,0
1, 1, 1, 1.49942334173, 100, 100, 60, 89, 20, 0, 20, 1422812627.5409837, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,42.7932,0,0,0,0,0,0,0
1, 1, 2, 1.69344846616, 212, 352, 402, 1739, 11, 0, 11, 1422473838.2127109, 0, 0, 37, 1, 2, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 1, 0, 0, 0, 0, 1, 2, 0,71.2842666667,0,1,1,0,0,0,1
1, 1, 2, 1.69344846616, 20, 26, 184, 584, 6, 0, 6, 1422471874.871795, 0, 0, 37, 0, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0,46.6228666667,0,0,0,0,0,0,0
1, 1, 1, 1.26744380381, 3, 3, 114, 1739, 1, 1, 1, 1419836475.857143, 0, 0, 7, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,71.1608,0,1,1,0,0,0,1
